acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-784,-160,15128,-448,432,-25,2026-01-22 11:35:25,0.0
-732,-132,14856,-431,438,-24,2026-01-22 11:35:25,0.0
-752,-128,14972,-412,433,-25,2026-01-22 11:35:25,0.0
-884,-140,14852,-419,441,-34,2026-01-22 11:35:25,0.0
-772,-156,15052,-408,435,-27,2026-01-22 11:35:25,0.0
-760,-176,15008,-430,468,-13,2026-01-22 11:35:26,0.0
-764,-36,14944,-409,405,-19,2026-01-22 11:35:26,0.0
-904,-156,14964,-436,420,-17,2026-01-22 11:35:26,0.0
-724,-156,15132,-415,385,-17,2026-01-22 11:35:26,0.0
-800,-88,14908,-455,438,-38,2026-01-22 11:35:26,0.0
-828,-84,15120,-428,456,-36,2026-01-22 11:35:26,0.0
-836,-88,14960,-440,443,-10,2026-01-22 11:35:26,0.0
-852,-100,15000,-428,426,-20,2026-01-22 11:35:27,0.0
-832,-168,15028,-416,421,-25,2026-01-22 11:35:27,0.0
-752,-224,15132,-411,432,-39,2026-01-22 11:35:27,0.0
-700,-132,14896,-428,435,-31,2026-01-22 11:35:27,0.0
-788,-56,14916,-440,398,-26,2026-01-22 11:35:27,0.0
-1092,-108,14920,-394,420,-431,2026-01-22 11:35:27,0.0
-876,-144,15116,-391,423,-148,2026-01-22 11:35:27,0.0
-900,-124,15068,-403,418,-13,2026-01-22 11:35:27,0.0
-772,-164,15048,-426,457,-15,2026-01-22 11:35:28,0.0
-828,-64,14840,-441,470,0,2026-01-22 11:35:28,0.0
-736,-156,14996,-442,446,-29,2026-01-22 11:35:28,0.0
-812,-184,15060,-423,420,-2,2026-01-22 11:35:28,0.0
-872,-168,15072,-424,446,-38,2026-01-22 11:35:28,0.0
-808,-60,15048,-438,426,-36,2026-01-22 11:35:28,0.0
-940,-128,15056,-415,404,-33,2026-01-22 11:35:28,0.0
-836,-148,15004,-420,420,-20,2026-01-22 11:35:28,0.0
-832,-76,15108,-432,429,-44,2026-01-22 11:35:29,0.0
-760,-84,15156,-425,442,-24,2026-01-22 11:35:29,0.0
-800,-124,15052,-408,454,-14,2026-01-22 11:35:29,0.0
-856,-164,15104,-429,431,-29,2026-01-22 11:35:29,0.0
-824,-160,14828,-425,444,-19,2026-01-22 11:35:29,0.0
-780,-96,15140,-421,445,-38,2026-01-22 11:35:29,0.0
-848,-192,14980,-446,428,-36,2026-01-22 11:35:29,0.0
-800,-104,15052,-433,435,-30,2026-01-22 11:35:29,0.0
