acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-860,12,15144,-420,448,-20,2026-01-22 11:35:30,0.0
-876,-184,15004,-442,452,-27,2026-01-22 11:35:30,0.0
-808,-100,15160,-440,418,-15,2026-01-22 11:35:30,0.0
-724,-56,15060,-439,421,-41,2026-01-22 11:35:30,0.0
-728,-80,15148,-425,459,-47,2026-01-22 11:35:30,0.0
-856,-172,15032,-406,443,-18,2026-01-22 11:35:30,0.0
-716,-96,15036,-402,448,-33,2026-01-22 11:35:30,0.0
-836,-164,15036,-425,441,-27,2026-01-22 11:35:31,0.0
-844,-96,14960,-417,425,-27,2026-01-22 11:35:31,0.0
-916,-156,15096,-432,434,-29,2026-01-22 11:35:31,0.0
-804,-72,15020,-416,450,-36,2026-01-22 11:35:31,0.0
-800,-144,15172,-428,413,-29,2026-01-22 11:35:31,0.0
-760,-168,15124,-423,444,-10,2026-01-22 11:35:31,0.0
-852,-164,14952,-439,421,-19,2026-01-22 11:35:31,0.0
-844,-96,15056,-437,440,-28,2026-01-22 11:35:31,0.0
-804,-196,14996,-391,434,-15,2026-01-22 11:35:32,0.0
-776,-128,14992,-403,426,-36,2026-01-22 11:35:32,0.0
-824,-156,15036,-417,447,-22,2026-01-22 11:35:32,0.0
-740,-196,15012,-428,449,-31,2026-01-22 11:35:32,0.0
-692,-212,15088,-418,439,-28,2026-01-22 11:35:32,0.0
-828,-152,15076,-427,440,-36,2026-01-22 11:35:32,0.0
-772,-172,14936,-411,448,-26,2026-01-22 11:35:32,0.0
-812,-120,15244,-432,431,-2,2026-01-22 11:35:32,0.0
-828,-176,15148,-428,433,-43,2026-01-22 11:35:33,0.0
-856,-136,14908,-420,424,-46,2026-01-22 11:35:33,0.0
-788,-96,15056,-394,431,-37,2026-01-22 11:35:33,0.0
-788,-88,15020,-420,438,-19,2026-01-22 11:35:33,0.0
-780,-196,15044,-447,443,-25,2026-01-22 11:35:33,0.0
-784,-248,14972,-417,454,-14,2026-01-22 11:35:33,0.0
-792,-256,15120,-415,422,-9,2026-01-22 11:35:33,0.0
-824,-180,15220,-412,419,-9,2026-01-22 11:35:34,0.0
-844,-200,15092,-419,446,-40,2026-01-22 11:35:34,0.0
-728,-156,15060,-426,432,-29,2026-01-22 11:35:34,0.0
-724,-128,15092,-411,431,-27,2026-01-22 11:35:34,0.0
-880,-180,15024,-424,451,-25,2026-01-22 11:35:34,0.0
-892,-128,15100,-425,390,-15,2026-01-22 11:35:34,0.0
-748,-156,14920,-417,424,-21,2026-01-22 11:35:34,0.0
-824,-184,14948,-406,435,-20,2026-01-22 11:35:35,0.0
-740,-188,14976,-409,431,-13,2026-01-22 11:35:35,0.0
-836,-100,15076,-431,430,-25,2026-01-22 11:35:35,0.0
-776,-80,15076,-413,451,-13,2026-01-22 11:35:35,0.0
-880,-208,14972,-416,438,-33,2026-01-22 11:35:35,0.0
-780,-128,14980,-432,432,-22,2026-01-22 11:35:35,0.0
-804,-164,15088,-424,431,-10,2026-01-22 11:35:35,0.0
-792,-140,15008,-428,451,-24,2026-01-22 11:35:35,0.0
-816,-136,15044,-427,440,-35,2026-01-22 11:35:35,0.0
-692,-80,14844,-456,437,-30,2026-01-22 11:35:35,0.0
-772,-184,15024,-434,421,-18,2026-01-22 11:35:36,0.0
-848,-112,15116,-429,430,-15,2026-01-22 11:35:36,0.0
-916,-164,14976,-402,352,-19,2026-01-22 11:35:36,0.0
-784,-112,14996,-392,419,-49,2026-01-22 11:35:36,0.0
-792,-184,15032,-421,463,-25,2026-01-22 11:35:36,0.0
-720,-232,15100,-434,436,-21,2026-01-22 11:35:36,0.0
-696,-100,15092,-395,457,-27,2026-01-22 11:35:36,0.0
-820,-200,15064,-425,425,-33,2026-01-22 11:35:37,0.0
-752,-168,15056,-409,391,-21,2026-01-22 11:35:37,0.0
-696,-132,15016,-416,464,-7,2026-01-22 11:35:37,0.0
-856,-200,15196,-429,437,-33,2026-01-22 11:35:37,0.0
-840,-176,14908,-415,426,-27,2026-01-22 11:35:37,0.0
-860,-208,14932,-421,425,-12,2026-01-22 11:35:37,0.0
-816,-136,14956,-419,427,-27,2026-01-22 11:35:37,0.0
-820,-104,15064,-438,428,-37,2026-01-22 11:35:37,0.0
-872,-120,15144,-407,448,-40,2026-01-22 11:35:38,0.0
-768,-156,15156,-431,422,-20,2026-01-22 11:35:38,
-360,12,15260,-666,396,3002,2026-01-22 11:35:38,0.0
-1416,-276,15548,-553,539,1502,2026-01-22 11:35:38,0.0
-756,-128,15056,-414,463,-175,2026-01-22 11:35:38,0.0
-804,-104,15076,-414,442,-32,2026-01-22 11:35:38,0.0
-740,-112,15072,-433,445,-19,2026-01-22 11:35:39,0.0
-812,-176,14988,-441,429,-21,2026-01-22 11:35:39,0.0
-804,-64,14872,-423,413,-25,2026-01-22 11:35:39,0.0
-688,-244,15148,-446,468,-1,2026-01-22 11:35:39,0.0
-752,-128,15124,-423,446,-30,2026-01-22 11:35:39,0.0
-696,-80,14912,-426,474,-22,2026-01-22 11:35:39,0.0
-828,-212,14988,-437,429,-32,2026-01-22 11:35:39,0.0
-864,-208,15076,-426,437,-17,2026-01-22 11:35:39,0.0
-852,-136,14984,-425,431,-43,2026-01-22 11:35:39,0.0
-876,-168,14884,-404,435,-14,2026-01-22 11:35:40,0.0
-772,-168,15096,-413,444,-19,2026-01-22 11:35:40,0.0
-768,-128,14980,-441,442,-13,2026-01-22 11:35:40,0.0
-608,-192,15036,-412,439,-24,2026-01-22 11:35:40,0.0
-776,-176,14956,-411,486,-18,2026-01-22 11:35:40,0.0
-848,-132,14964,-418,414,-29,2026-01-22 11:35:40,0.0
-748,-92,15076,-426,446,-12,2026-01-22 11:35:40,0.0
-880,-180,15012,-424,445,-49,2026-01-22 11:35:40,0.0
-792,-112,14940,-438,429,-34,2026-01-22 11:35:41,0.0
-828,-96,15036,-438,428,-17,2026-01-22 11:35:41,0.0
-852,-172,15052,-411,427,-34,2026-01-22 11:35:41,0.0
-848,-136,15068,-420,453,-35,2026-01-22 11:35:41,0.0
-752,-132,14920,-419,436,-30,2026-01-22 11:35:41,0.0
-872,-200,15036,-402,403,-14,2026-01-22 11:35:41,0.0
-732,-104,15108,-427,446,-23,2026-01-22 11:35:41,0.0
-788,-116,15020,-439,414,-26,2026-01-22 11:35:42,0.0
-856,-52,15016,-421,440,-37,2026-01-22 11:35:42,0.0
-760,-148,15060,-419,432,-26,2026-01-22 11:35:42,0.0
-764,-228,15100,-415,410,-24,2026-01-22 11:35:42,0.0
-664,-204,15020,-429,428,-18,2026-01-22 11:35:42,0.0
-796,-40,15004,-397,435,-25,2026-01-22 11:35:42,0.0
-732,-232,14872,-428,448,-30,2026-01-22 11:35:42,0.0
-820,-232,15116,-422,430,-16,2026-01-22 11:35:42,0.0
-804,-184,15212,-430,440,-40,2026-01-22 11:35:43,0.0
-872,-164,14940,-424,451,-6,2026-01-22 11:35:43,0.0
-796,-132,15140,-422,425,-6,2026-01-22 11:35:43,0.0
-808,-168,15112,-406,424,-19,2026-01-22 11:35:43,0.0
-760,-140,15052,-426,431,-20,2026-01-22 11:35:43,0.0
-832,-120,15112,-425,446,-35,2026-01-22 11:35:43,0.0
-808,-108,14988,-408,426,-5,2026-01-22 11:35:43,0.0
-784,-132,14968,-422,459,-23,2026-01-22 11:35:43,0.0
-688,-84,15076,-408,450,-26,2026-01-22 11:35:44,0.0
-740,-136,15016,-432,429,-12,2026-01-22 11:35:44,0.0
-752,-120,15012,-409,444,-14,2026-01-22 11:35:44,0.0
-732,-96,15012,-424,410,-32,2026-01-22 11:35:44,0.0
-816,-172,15088,-420,439,-11,2026-01-22 11:35:44,0.0
-684,-100,15032,-431,417,-37,2026-01-22 11:35:44,0.0
-780,-140,15036,-401,432,-26,2026-01-22 11:35:44,0.0
-752,-140,15128,-449,448,-20,2026-01-22 11:35:45,0.0
-880,-100,15076,-422,446,-29,2026-01-22 11:35:45,0.0
-680,-68,14908,-420,449,-18,2026-01-22 11:35:45,0.0
-868,-136,15004,-424,449,-33,2026-01-22 11:35:45,0.0
-812,-156,15240,-412,440,-24,2026-01-22 11:35:45,0.0
-864,-168,14964,-389,434,1,2026-01-22 11:35:45,0.0
-708,-100,14980,-431,429,-19,2026-01-22 11:35:45,0.0
-752,-148,15180,-418,428,-35,2026-01-22 11:35:46,0.0
-816,-92,15192,-429,452,-31,2026-01-22 11:35:46,0.0
-872,-128,15084,-434,436,-31,2026-01-22 11:35:46,0.0
-828,-176,15072,-445,463,-7,2026-01-22 11:35:46,0.0
-784,-168,14920,-430,449,-19,2026-01-22 11:35:46,0.0
-848,-168,15140,-423,435,-51,2026-01-22 11:35:46,0.0
-796,-144,15048,-441,417,-14,2026-01-22 11:35:46,0.0
-856,-72,14948,-435,444,0,2026-01-22 11:35:46,0.0
-796,-184,15152,-403,416,-8,2026-01-22 11:35:46,0.0
-792,-156,15184,-408,438,-30,2026-01-22 11:35:47,0.0
-744,-120,14968,-441,428,-46,2026-01-22 11:35:47,0.0
-796,-184,15048,-429,442,-23,2026-01-22 11:35:47,0.0
-816,-132,15008,-445,446,-30,2026-01-22 11:35:47,0.0
-748,-140,15076,-408,450,-16,2026-01-22 11:35:47,0.0
-792,-236,15108,-428,448,-34,2026-01-22 11:35:47,0.0
-716,-140,14920,-438,422,-28,2026-01-22 11:35:48,0.0
-768,-168,15072,-419,433,-13,2026-01-22 11:35:48,0.0
-836,-24,15048,-419,438,-40,2026-01-22 11:35:48,0.0
-816,-84,15032,-408,417,-16,2026-01-22 11:35:48,0.0
-816,-188,15128,-430,461,-37,2026-01-22 11:35:48,0.0
-760,-92,14976,-444,442,-21,2026-01-22 11:35:48,0.0
-784,-144,15068,-435,432,-24,2026-01-22 11:35:48,0.0
-796,-40,15052,-443,431,-22,2026-01-22 11:35:48,0.0
-724,-280,15156,-432,438,-17,2026-01-22 11:35:48,0.0
-844,-168,14976,-420,411,-33,2026-01-22 11:35:49,0.0
-792,-104,14876,-452,449,-2,2026-01-22 11:35:49,0.0
-796,-156,15156,-392,444,-34,2026-01-22 11:35:49,0.0
-776,-164,15116,-409,427,-15,2026-01-22 11:35:49,0.0
-828,-116,15068,-461,431,-12,2026-01-22 11:35:49,0.0
-728,-92,15196,-425,449,-23,2026-01-22 11:35:49,0.0
-820,-200,15044,-426,446,-4,2026-01-22 11:35:49,0.0
-848,-192,15140,-431,411,-15,2026-01-22 11:35:49,0.0
-692,-176,15024,-447,436,-16,2026-01-22 11:35:50,0.0
-796,-84,15084,-427,434,-38,2026-01-22 11:35:50,0.0
-852,-80,15020,-423,416,-3,2026-01-22 11:35:50,0.0
-672,-56,15008,-437,456,-31,2026-01-22 11:35:50,0.0
-864,-60,14980,-428,442,0,2026-01-22 11:35:50,0.0
-792,-108,14960,-437,444,-17,2026-01-22 11:35:50,0.0
-856,-180,14964,-435,453,-28,2026-01-22 11:35:50,0.0
-828,-180,14996,-441,441,-23,2026-01-22 11:35:51,0.0
-804,-44,15004,-444,425,-10,2026-01-22 11:35:51,0.0
-748,-188,15136,-428,459,-29,2026-01-22 11:35:51,
-860,-176,15028,-437,448,3,2026-01-22 11:35:51,0.0
-696,-156,14996,-428,439,-21,2026-01-22 11:35:51,0.0
-936,-236,14944,-431,381,-34,2026-01-22 11:35:51,0.0
-736,-140,15072,-439,436,-33,2026-01-22 11:35:51,0.0
-768,-216,15028,-427,445,-13,2026-01-22 11:35:51,0.0
-740,-112,14920,-430,457,-34,2026-01-22 11:35:52,0.0
-644,-200,15172,-436,417,-25,2026-01-22 11:35:52,0.0
-900,-176,15092,-432,438,-25,2026-01-22 11:35:52,0.0
-832,-120,15068,-407,436,-30,2026-01-22 11:35:52,0.0
-736,-112,15136,-407,472,-45,2026-01-22 11:35:52,0.0
-796,-80,15004,-434,428,-34,2026-01-22 11:35:52,0.0
-816,-168,15100,-405,446,-16,2026-01-22 11:35:52,0.0
-808,-132,15064,-431,444,8,2026-01-22 11:35:52,0.0
-816,-76,15100,-422,428,-15,2026-01-22 11:35:53,0.0
-800,-108,15116,-415,438,-12,2026-01-22 11:35:53,0.0
-716,-104,15060,-429,436,-43,2026-01-22 11:35:53,0.0
-804,-148,15084,-446,433,-21,2026-01-22 11:35:53,0.0
-760,-152,15088,-431,473,-33,2026-01-22 11:35:53,0.0
-664,-136,15096,-445,442,-11,2026-01-22 11:35:53,0.0
-828,-204,14912,-433,439,-29,2026-01-22 11:35:53,0.0
-832,-152,15024,-438,436,-30,2026-01-22 11:35:54,0.0
-744,-228,14932,-423,436,-42,2026-01-22 11:35:54,0.0
-848,-208,15064,-422,432,-24,2026-01-22 11:35:54,0.0
-768,-68,14904,-424,447,-18,2026-01-22 11:35:54,0.0
-804,-80,15032,-413,463,-32,2026-01-22 11:35:54,0.0
-828,-176,14984,-440,406,-15,2026-01-22 11:35:54,0.0
-844,-12,15036,-401,436,-19,2026-01-22 11:35:54,0.0
-820,-112,14960,-438,432,-59,2026-01-22 11:35:54,0.0
-732,-48,15128,-416,419,-26,2026-01-22 11:35:55,0.0
-740,-216,15128,-423,441,-37,2026-01-22 11:35:55,0.0
-808,-120,14948,-428,412,-21,2026-01-22 11:35:55,0.0
-840,-68,15116,-417,445,-25,2026-01-22 11:35:55,0.0
-740,-200,14988,-426,450,-23,2026-01-22 11:35:55,0.0
-744,-84,15096,-412,425,-45,2026-01-22 11:35:55,0.0
-748,-164,14972,-424,440,-12,2026-01-22 11:35:55,0.0
-876,-200,15076,-386,433,-4,2026-01-22 11:35:56,0.0
-824,-48,15160,-435,440,-28,2026-01-22 11:35:56,0.0
-848,-52,14968,-419,425,-20,2026-01-22 11:35:56,0.0
-756,-188,15004,-415,434,-27,2026-01-22 11:35:56,0.0
-788,-108,15032,-420,423,-24,2026-01-22 11:35:56,0.0
-772,-176,14968,-435,442,-27,2026-01-22 11:35:56,0.0
-788,-136,15040,-404,455,-39,2026-01-22 11:35:56,0.0
-824,-68,14872,-420,440,-34,2026-01-22 11:35:56,0.0
-780,-36,15060,-429,437,-13,2026-01-22 11:35:56,0.0
-792,-156,15108,-432,405,7,2026-01-22 11:35:57,0.0
-704,-40,15036,-405,432,-13,2026-01-22 11:35:57,0.0
-772,-200,14992,-425,437,-34,2026-01-22 11:35:57,0.0
-776,-88,15064,-427,416,-31,2026-01-22 11:35:57,0.0
-748,-88,14980,-437,449,-66,2026-01-22 11:35:57,0.0
-864,-116,15080,-427,434,-26,2026-01-22 11:35:57,0.0
-840,-116,15120,-429,444,-36,2026-01-22 11:35:57,0.0
-784,-28,15068,-422,436,-20,2026-01-22 11:35:58,0.0
-848,-20,15044,-410,430,-32,2026-01-22 11:35:58,0.0
-780,-56,15036,-420,437,-33,2026-01-22 11:35:58,0.0
-828,-156,14980,-426,446,-29,2026-01-22 11:35:58,0.0
-820,-80,14992,-421,428,-23,2026-01-22 11:35:58,0.0
-772,-172,15100,-427,414,-21,2026-01-22 11:35:58,0.0
-860,-124,15192,-441,440,-37,2026-01-22 11:35:58,0.0
-804,-188,15028,-418,435,-26,2026-01-22 11:35:58,0.0
-740,-168,15020,-415,443,2,2026-01-22 11:35:59,0.0
-760,-124,15004,-424,426,-36,2026-01-22 11:35:59,0.0
-828,-64,15112,-410,442,-37,2026-01-22 11:35:59,0.0
-840,-64,15172,-426,404,-22,2026-01-22 11:35:59,0.0
-744,-148,15016,-435,436,-20,2026-01-22 11:35:59,0.0
-732,-112,15136,-421,442,-18,2026-01-22 11:35:59,0.0
-652,-136,15048,-433,437,-13,2026-01-22 11:35:59,0.0
-836,-52,14956,-433,444,0,2026-01-22 11:36:00,0.0
-752,-116,15068,-447,452,-41,2026-01-22 11:36:00,0.0
-912,-88,14996,-442,443,-44,2026-01-22 11:36:00,0.0
-784,-88,15052,-417,437,-41,2026-01-22 11:36:00,0.0
-788,-92,15024,-412,425,-20,2026-01-22 11:36:00,0.0
-716,-152,15092,-422,437,-29,2026-01-22 11:36:00,0.0
-780,-204,15168,-416,435,-5,2026-01-22 11:36:00,0.0
-804,-88,15132,-404,430,-28,2026-01-22 11:36:00,0.0
-732,-40,15084,-421,406,-29,2026-01-22 11:36:01,0.0
-828,-108,15064,-419,427,-33,2026-01-22 11:36:01,0.0
-852,-144,15048,-417,419,-6,2026-01-22 11:36:01,0.0
-732,-176,15096,-447,439,-29,2026-01-22 11:36:01,0.0
-784,-180,15168,-431,421,-8,2026-01-22 11:36:01,0.0
-820,-120,15024,-438,414,-18,2026-01-22 11:36:01,0.0
-728,-76,14984,-411,432,-45,2026-01-22 11:36:01,0.0
-764,-204,15020,-419,421,-35,2026-01-22 11:36:01,0.0
-780,-112,15048,-428,438,-11,2026-01-22 11:36:01,0.0
-760,-140,14992,-411,425,-7,2026-01-22 11:36:02,0.0
-808,-28,15036,-443,431,-36,2026-01-22 11:36:02,0.0
-840,-160,15004,-445,432,-36,2026-01-22 11:36:02,0.0
-732,-60,14996,-424,437,-12,2026-01-22 11:36:02,0.0
-700,-124,15168,-414,407,-31,2026-01-22 11:36:02,0.0
-768,-120,15156,-426,443,-24,2026-01-22 11:36:02,0.0
-744,-312,15092,-412,420,-25,2026-01-22 11:36:02,0.0
-776,-128,14968,-423,412,-3,2026-01-22 11:36:03,0.0
-744,-184,15020,-420,453,-26,2026-01-22 11:36:03,0.0
-892,-124,14948,-422,466,-3,2026-01-22 11:36:03,0.0
-772,-168,15064,-431,409,-26,2026-01-22 11:36:03,0.0
-780,-104,15076,-415,462,-49,2026-01-22 11:36:03,0.0
-784,-128,15028,-410,475,-17,2026-01-22 11:36:03,0.0
-700,-112,14992,-443,448,-38,2026-01-22 11:36:03,0.0
-816,-84,15072,-409,418,8,2026-01-22 11:36:03,0.0
-780,-136,14908,-427,424,-14,2026-01-22 11:36:04,0.0
-816,-128,15128,-436,417,-33,2026-01-22 11:36:04,
